,alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_en,Energie (kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Vitamine D (µg/100 g),Vitamine C (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
338,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,13004,"Avocat, pulpe, cru","Avocado, pulp, raw",205,"70,3","1,56","0,83","20,6","0,4",0.25,"0,015","9,4","0,34",21,0,0.25,"70,4",0
339,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20004,"Bette ou blette, crue","Chard, raw","16,4","95,4",1,"1,63",0.25,"1,2",0,"0,57",25,"0,85",17,0.125,"3,08","24,7",0
340,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20009,"Carotte, crue","Carrot, raw","40,2","88,1","0,63","7,59",0.25,6,0,"0,11",25,"0,24",10,0,"2,05","59,4",0
341,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20010,"Champignon, tout type, cru","Mushroom, any type, raw","21,7","92,6","2,37","1,88","0,23","1,43",0,"0,012","7,78","0,69","10,9","0,2","3,4",29,0
342,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20012,"Salade ou chicorée frisée, crue","Frisée lettuce salad, raw",-,"92,9","1,48","2,4","0,25","0,7",0,"0,084",76,"0,85","22,5",0,"18,5",126,0
343,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20014,"Chou rouge, cru","Red cabbage, raw",30,"90,7","1,13","4,33",0.25,"3,9",0,"0,035",36,"0,25","9,7",0,"18,7","31,9",0
344,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20016,"Chou-fleur, cru","Cauliflower, raw","26,2","92,9","1,81","2,13","0,7","1,7",0,"0,015",23,"0,27","9,8",0,"4,14","56,2",0
345,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20019,"Concombre, pulpe et peau, cru","Cucumber, flesh and skin, raw","15,6",96,"0,64","2,54","0,11","1,67",0,"0,012","19,2","0,13","13,6",0,"8,25","12,3",0
346,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20020,"Courgette, pulpe et peau, crue","Zucchini, flesh and skin, raw","16,5","94,7","1,23","1,8","0,26","1,79",0,"0,023","18,7","0,36","17,5",0,"17,5",36,0
347,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20022,"Cresson de fontaine, cru","Watercress, raw",-,"94,6","2,09","0,9","0,15","0,2",0,"0,13",101,"0,9",19,0,"51,5",9,0
